degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
101,1,2305506.0,194,8.46153846153846,4315602.0,119,0.0,2903904.0,115,0.0,2612208.0,197,0.33739837398373984,4316907.0,65,0.019198476932691905,1501808.0
102,1,2312304.0,185,7.69230769230769,4128203.0,120,0.0,2911709.0,116,0.0,2613909.0,198,0.33739837398373984,4322400.0,169,0.018245884001665633,4109401.0
103,1,2312908.0,199,7.46153846153846,4318002.0,121,0.0,2932507.0,117,0.0,2903201.0,199,0.33739837398373984,4318002.0,116,0.01809939570831288,2613909.0
104,1,2313302.0,62,7.423076923076923,1504802.0,122,0.0,3127701.0,118,0.0,2933307.0,200,0.33739837398373984,4321501.0,162,0.016837867255497855,3505500.0
107,1,2604106.0,195,7.28846153846154,4317202.0,123,0.0,3131307.0,119,0.0,2903904.0,24,0.3360323886639676,1304203.0,41,0.016194696574574032,1304062.0
109,1,2924009.0,63,7.019230769230768,1505106.0,124,0.0,3525904.0,120,0.0,2911709.0,7,0.33400402414486924,1302405.0,55,0.015528698949761987,1505536.0
114,1,3170701.0,177,6.94230769230769,4104303.0,125,0.0,2931350.0,121,0.0,2932507.0,37,0.33400402414486924,1301209.0,97,0.01444862719629344,2304251.0
116,1,2613909.0,203,6.21153846153846,5107040.0,126,0.0,2932903.0,122,0.0,3127701.0,66,0.33400402414486924,1505908.0,125,0.01374305642900243,2931350.0
121,1,2932507.0,82,5.7307692307692335,5107859.0,127,0.0,3101706.0,123,0.0,3131307.0,36,0.3333333333333333,1301001.0,9,0.01261722678266564,5300108.0
122,1,3127701.0,186,5.67307692307692,4118402.0,128,0.0,3103405.0,125,0.0,2931350.0,38,0.33266533066132264,1301407.0,209,0.012575244599579271,5107925.0
123,1,3131307.0,183,5.61538461538461,4108809.0,129,0.0,3121605.0,126,0.0,2932903.0,41,0.33266533066132264,1304062.0,156,0.012557134087265675,5107602.0
